City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,salym,60.0625,71.4789,-2.43,95,100,1.36,RU,1699572063
1,ushuaia,-54.8,-68.3,9.81,71,75,5.81,AR,1699571766
2,margaret river,-33.95,115.0667,13.83,71,100,3.43,AU,1699571933
3,ribeira grande,38.5167,-28.7,20.99,94,94,8.05,PT,1699572064
4,tura,25.5198,90.2201,16.94,72,0,1.76,IN,1699572064
5,ghat,24.9647,10.1728,21.45,17,2,0.91,LY,1699572065
6,saacow,1.6279,42.4407,25.61,86,56,2.21,SO,1699572065
7,constantia,44.1833,28.65,5.38,55,1,3.56,RO,1699572065
8,bilibino,68.0546,166.4372,-23.13,100,100,0.75,RU,1699572066
9,invercargill,-46.4,168.35,12.79,60,25,1.79,NZ,1699572066
10,barcelos,41.5388,-8.6151,15.08,84,93,1.4,PT,1699572067
11,papatowai,-46.5619,169.4708,11.67,46,91,2.58,NZ,1699572067
12,adamstown,-25.066,-130.1015,22.73,87,100,6.55,PN,1699571955
13,grytviken,-54.2811,-36.5092,1.68,98,98,2.12,GS,1699572068
14,callao,-12.0667,-77.15,22.07,77,100,5.66,PE,1699572068
15,dolbeau-mistassini,48.8763,-72.212,-4.74,95,100,3.33,CA,1699572069
16,waitangi,-43.9535,-176.5597,10.46,55,97,4.02,NZ,1699572069
17,novodvinsk,64.4165,40.8122,-5.68,97,99,1.03,RU,1699572069
18,port-aux-francais,-49.35,70.2167,5.18,96,100,9.05,TF,1699572070
19,edinburgh of the seven seas,-37.0676,-12.3116,12.0,67,57,3.19,SH,1699572070
20,lihue,21.9789,-159.3672,28.58,71,75,6.69,US,1699571938
21,fortuna,40.5982,-124.1573,14.96,75,0,0.0,US,1699572070
22,blackmans bay,-43.0167,147.3167,21.07,62,46,1.68,AU,1699572015
23,albany,42.6001,-73.9662,7.35,83,100,0.45,US,1699572071
24,tateyama,34.9833,139.8667,21.12,66,94,6.33,JP,1699572072
25,kattivakkam,13.2167,80.3167,27.82,82,100,4.56,IN,1699572072
26,hawaiian paradise park,19.5933,-154.9731,27.73,75,20,5.14,US,1699572072
27,klyuchi,52.2667,79.1667,5.13,90,94,4.13,RU,1699572072
28,talnakh,69.4865,88.3972,-5.44,89,100,8.07,RU,1699572073
29,butembo,0.15,29.2833,15.6,98,100,0.31,CD,1699572073
30,puerto natales,-51.7236,-72.4875,7.82,76,13,2.02,CL,1699572073
31,bethel,41.3712,-73.414,10.36,83,0,0.0,US,1699572074
32,iqaluit,63.7506,-68.5145,-6.15,85,100,5.14,CA,1699571983
33,narimanov,46.6927,47.8498,11.95,76,100,6.88,RU,1699572074
34,ust'-kut,56.7938,105.7672,-15.87,98,62,0.45,RU,1699572074
35,vadso,70.0744,29.7487,-1.91,86,75,8.75,NO,1699572075
36,haiku-pauwela,20.9219,-156.3051,30.01,48,20,9.26,US,1699572075
37,weno,7.4515,151.8468,25.97,100,100,6.17,FM,1699572075
38,qaqortoq,60.7167,-46.0333,-4.03,86,22,4.02,GL,1699572076
39,isafjordur,66.0755,-23.124,2.37,73,87,2.51,IS,1699572076
40,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,73,75,9.39,RU,1699572077
41,anadyr,64.75,177.4833,-9.72,78,40,5.0,RU,1699572077
42,coalcoman de vazquez pallares,18.7833,-103.15,25.16,81,90,1.27,MX,1699572078
43,olonkinbyen,70.9221,-8.7187,-2.14,67,90,1.69,SJ,1699571993
44,mermoz boabab,14.7065,-17.4758,23.88,88,77,3.09,SN,1699572078
45,vernon,50.2581,-119.2691,8.67,83,100,1.03,CA,1699571874
46,hamilton,39.1834,-84.5333,14.85,44,100,3.6,US,1699571871
47,rongelap,11.1635,166.8941,27.92,80,80,9.62,MH,1699572079
48,goure,13.9835,10.2704,26.44,16,97,3.48,NE,1699572079
49,at taj,24.2049,23.2857,20.09,46,51,4.62,LY,1699572080
50,georgetown,5.4112,100.3354,25.96,97,20,1.54,MY,1699571906
51,vilyuchinsk,52.9306,158.4028,-1.85,83,90,1.81,RU,1699572080
52,lumut,4.2323,100.6298,25.01,94,20,1.03,MY,1699572080
53,dryden,49.7833,-92.7503,0.16,93,100,3.09,CA,1699572081
54,saudarkrokur,65.7461,-19.6394,-3.14,81,72,2.9,IS,1699572081
55,sisimiut,66.9395,-53.6735,-5.08,84,100,5.45,GL,1699572081
56,fort mcmurray,56.7268,-111.381,-3.23,86,0,4.12,CA,1699572081
57,harstad,68.799,16.5293,2.31,95,62,8.49,NO,1699572082
58,ujae,8.9322,165.7642,28.42,80,100,9.68,MH,1699572082
59,kenai,60.5544,-151.2583,-0.51,88,100,10.8,US,1699572083
60,aasiaat,68.7098,-52.8699,-7.17,92,99,5.79,GL,1699572083
61,nova vicosa,-17.8919,-39.3719,23.7,82,1,4.06,BR,1699572037
62,strathalbyn,-35.2667,138.9,34.25,32,14,3.0,AU,1699572084
63,udachny,66.4167,112.4,-10.86,78,100,1.5,RU,1699572084
64,bengkulu,-3.8004,102.2655,22.96,94,97,1.43,ID,1699572084
65,ketchikan,55.3422,-131.6461,9.99,93,75,3.6,US,1699572085
66,wailua homesteads,22.0669,-159.378,28.24,77,75,6.69,US,1699572085
67,kalabo,-14.97,22.6814,23.69,64,89,2.1,ZM,1699572085
68,jeddah,21.5169,39.2192,29.92,62,40,2.06,SA,1699572086
69,college,64.8569,-147.8028,-1.22,88,75,4.12,US,1699571887
70,alice springs,-23.7,133.8833,28.75,37,55,4.63,AU,1699571946
71,guangyuan,32.442,105.823,15.29,79,100,1.28,CN,1699572086
72,puerto deseado,-47.7503,-65.8938,14.4,38,18,8.6,AR,1699572087
73,hithadhoo,-0.6,73.0833,26.99,79,89,3.57,MV,1699572087
74,puerto ayora,-0.7393,-90.3518,24.19,94,85,4.47,EC,1699572088
75,ancud,-41.8697,-73.8203,11.19,75,1,1.71,CL,1699571842
76,ibimirim,-8.5406,-37.6903,27.98,37,43,7.17,BR,1699572089
